step,loss,class_acc,lr,min_lr,weight_decay,grad_norm,test_acc1,test_acc5,test_loss,test_f1,test_auc,test_recall
102,3.129762649536133,0.1796875,0.00017094971553888172,0.00017094971553888172,0.0006000000284984708,,,,,,,
103,3.150693416595459,0.1640625,0.00017094971553888172,0.00017094971553888172,0.0006000000284984708,0.8181013464927673,,,,,,
104,3.1681442260742188,0.1328125,0.00017430167645215988,0.00017430167645215988,0.0006000000284984708,,,,,,,
105,3.122556686401367,0.1484375,0.00017430167645215988,0.00017430167645215988,0.0006000000284984708,0.882312536239624,,,,,,
106,3.119173526763916,0.1875,0.00017765363736543804,0.00017765363736543804,0.0006000000284984708,,,,,,,
107,3.120128631591797,0.15625,0.00017765363736543804,0.00017765363736543804,0.0006000000284984708,0.9877603650093079,,,,,,
108,3.1273794174194336,0.1796875,0.00018100558372680098,0.00018100558372680098,0.0006000000284984708,,,,,,,
109,3.097435712814331,0.1796875,0.00018100558372680098,0.00018100558372680098,0.0006000000284984708,1.0935828685760498,,,,,,
110,3.152763843536377,0.125,0.00018435754464007914,0.00018435754464007914,0.0006000000284984708,,,,,,,
111,3.12587308883667,0.125,0.00018435754464007914,0.00018435754464007914,0.0006000000284984708,0.9636500477790833,,,,,,
112,3.1459639072418213,0.1484375,0.00018770949100144207,0.00018770949100144207,0.0006000000284984708,,,,,,,
113,3.1456093788146973,0.125,0.00018770949100144207,0.00018770949100144207,0.0006000000284984708,0.9894545674324036,,,,,,
114,3.111539840698242,0.1953125,0.00019106145191472024,0.00019106145191472024,0.0006000000284984708,,,,,,,
115,3.120713710784912,0.125,0.00019106145191472024,0.00019106145191472024,0.0006000000284984708,0.861487627029419,,,,,,
116,3.0444867610931396,0.1796875,0.0001944134128279984,0.0001944134128279984,0.0006000000284984708,,,,,,,
117,3.0856893062591553,0.1796875,0.0001944134128279984,0.0001944134128279984,0.0006000000284984708,0.9957166910171509,,,,,,
118,2.9883081912994385,0.2578125,0.00019776535918936133,0.00019776535918936133,0.0006000000284984708,,,,,,,
119,3.0513434410095215,0.203125,0.00019776535918936133,0.00019776535918936133,0.0006000000284984708,1.2136361598968506,,,,,,
120,2.9332966804504395,0.234375,0.0002011173201026395,0.0002011173201026395,0.0006000000284984708,,,,,,,
121,2.979759693145752,0.2265625,0.0002011173201026395,0.0002011173201026395,0.0006000000284984708,1.4206584692001343,,,,,,
122,3.0182721614837646,0.1875,0.00020446928101591766,0.00020446928101591766,0.0006000000284984708,,,,,,,
123,2.953028678894043,0.21875,0.00020446928101591766,0.00020446928101591766,0.0006000000284984708,1.402099370956421,,,,,,
124,2.977625846862793,0.21875,0.0002078212273772806,0.0002078212273772806,0.0006000000284984708,,,,,,,
125,2.9606752395629883,0.234375,0.0002078212273772806,0.0002078212273772806,0.0006000000284984708,1.461669683456421,,,,,,
126,2.930630922317505,0.25,0.00021117318829055876,0.00021117318829055876,0.0006000000284984708,,,,,,,
127,2.8771867752075195,0.3046875,0.00021117318829055876,0.00021117318829055876,0.0006000000284984708,1.4104286432266235,,,,,,
128,3.061372756958008,0.140625,0.0002145251346519217,0.0002145251346519217,0.0006000000284984708,,,,,,,
129,2.9736621379852295,0.2109375,0.0002145251346519217,0.0002145251346519217,0.0006000000284984708,1.2906146049499512,,,,,,
130,2.8815033435821533,0.21875,0.00021787709556519985,0.00021787709556519985,0.0006000000284984708,,,,,,,
131,3.011758804321289,0.1171875,0.00021787709556519985,0.00021787709556519985,0.0006000000284984708,1.407434105873108,,,,,,
132,2.969827651977539,0.2109375,0.00022122905647847801,0.00022122905647847801,0.0006000000284984708,,,,,,,
133,2.9871678352355957,0.15625,0.00022122905647847801,0.00022122905647847801,0.0006000000284984708,1.7825473546981812,,,,,,
134,2.981193780899048,0.1640625,0.00022458100283984095,0.00022458100283984095,0.0006000000284984708,,,,,,,
135,2.924417495727539,0.2265625,0.00022458100283984095,0.00022458100283984095,0.0006000000284984708,1.82120680809021,,,,,,
136,2.8454484939575195,0.234375,0.0002279329637531191,0.0002279329637531191,0.0006000000284984708,,,,,,,
137,2.9191336631774902,0.2578125,0.0002279329637531191,0.0002279329637531191,0.0006000000284984708,2.6069486141204834,,,,,,
138,2.7313857078552246,0.3359375,0.00023128491011448205,0.00023128491011448205,0.0006000000284984708,,,,,,,
139,2.839097023010254,0.2578125,0.00023128491011448205,0.00023128491011448205,0.0006000000284984708,1.6480716466903687,,,,,,
140,2.8283138275146484,0.203125,0.0002346368710277602,0.0002346368710277602,0.0006000000284984708,,,,,,,
141,2.725407600402832,0.28125,0.0002346368710277602,0.0002346368710277602,0.0006000000284984708,2.044893741607666,,,,,,
142,2.8391919136047363,0.25,0.00023798883194103837,0.00023798883194103837,0.0006000000284984708,,,,,,,
143,2.805018186569214,0.21875,0.00023798883194103837,0.00023798883194103837,0.0006000000284984708,1.7476351261138916,,,,,,
144,2.804461717605591,0.1953125,0.0002413407783024013,0.0002413407783024013,0.0006000000284984708,,,,,,,
145,2.718430519104004,0.3515625,0.0002413407783024013,0.0002413407783024013,0.0006000000284984708,1.3202203512191772,,,,,,
146,2.888759136199951,0.1796875,0.00024469272466376424,0.00024469272466376424,0.0006000000284984708,,,,,,,
147,2.8092987537384033,0.234375,0.00024469272466376424,0.00024469272466376424,0.0006000000284984708,1.5009300708770752,,,,,,
148,2.725027322769165,0.28125,0.00024804470012895763,0.00024804470012895763,0.0006000000284984708,,,,,,,
149,2.8741564750671387,0.1328125,0.00024804470012895763,0.00024804470012895763,0.0006000000284984708,1.807366967201233,,,,,,
150,2.8135530948638916,0.2421875,0.00025139664649032056,0.00025139664649032056,0.0006000000284984708,,,,,,,
151,2.751293182373047,0.2421875,0.00025139664649032056,0.00025139664649032056,0.0006000000284984708,1.8825204372406006,,,,,,
152,2.792208194732666,0.2109375,0.0002547485928516835,0.0002547485928516835,0.0006000000284984708,,,,,,,
153,2.764173984527588,0.2421875,0.0002547485928516835,0.0002547485928516835,0.0006000000284984708,1.6219316720962524,,,,,,
154,2.7139205932617188,0.21875,0.0002581005683168769,0.0002581005683168769,0.0006000000284984708,,,,,,,
155,2.6632041931152344,0.296875,0.0002581005683168769,0.0002581005683168769,0.0006000000284984708,1.9995890855789185,,,,,,
156,2.5513687133789062,0.3359375,0.0002614525146782398,0.0002614525146782398,0.0006000000284984708,,,,,,,
157,2.7512216567993164,0.28125,0.0002614525146782398,0.0002614525146782398,0.0006000000284984708,2.2721121311187744,,,,,,
158,2.7771108150482178,0.2265625,0.00026480446103960276,0.00026480446103960276,0.0006000000284984708,,,,,,,
159,2.5687520503997803,0.34375,0.00026480446103960276,0.00026480446103960276,0.0006000000284984708,2.0595972537994385,,,,,,
160,2.604959011077881,0.296875,0.00026815643650479615,0.00026815643650479615,0.0006000000284984708,,,,,,,
161,2.638869285583496,0.3359375,0.00026815643650479615,0.00026815643650479615,0.0006000000284984708,1.711326241493225,,,,,,
162,2.682279586791992,0.2890625,0.0002715083828661591,0.0002715083828661591,0.0006000000284984708,,,,,,,
163,2.590942144393921,0.3359375,0.0002715083828661591,0.0002715083828661591,0.0006000000284984708,2.497368574142456,,,,,,
164,2.713765859603882,0.2109375,0.000274860329227522,0.000274860329227522,0.0006000000284984708,,,,,,,
